Gene,CNT38,CNT48,CNT56,IPD12,IPD13,IPD28
MBNL1,0.836114003,0.75455323,0.69015575,1.070949217,0.727958846,0.84574876
MBNL2,0.32672069,0.294801547,0.328972,0.38979001,0.253648467,0.461784587
MBNL3,0.382131,0.371842218,0.572466763,0.328047483,0.322169435,0.482127229
MBOAT1,5.86406,4.7072,7.20018,8.89799,4.10821,5.21368
MBOAT2,1.098182483,0.857600782,0.952594562,1.487401393,0.78065355,1.090619254
MBOAT4,0.436581,0.260715,0.375056,0.0466876,0.263588,0.256562
MBOAT7,25.446403,21.958255,14.946559,26.1480925,16.8374745,17.36661905
MBP,0.117522333,0.079798683,0.0968565,0.270805512,0.173663333,0.058508283
MBTD1,9.98596,10.3872,7.60562,13.8311,9.54301,12.8963
MBTPS1,47.9212,35.9726,32.1165,60.1819,35.7259,37.4374
MBTPS2,25.4872,15.1896,16.7748,30.3597,19.0934,18.5945
MC1R,3.14188,3.19795,3.32994,4.12457,2.53468,5.01702
MC2R,0.06372945,0.023281375,0.03504482,0.009766099,0.02084536,0.03517575
MC3R,0,0,0,0,0,0
MC4R,0.103839,0.0885863,0.346912,0.111045,0.195917,0.305113
MC5R,0.230776,0.344534,0.501152,0.372508,0.131427,0.271237
MCAM,21.8648,17.3918,37.6257,27.6931,23.3052,40.3771
MCAT,3.0134,3.442560667,1.948979,3.999,3.677153333,3.217472333
MCC,2.278745,2.094285,1.4167465,2.34895,2.253915,2.16483
MCCC1,4.9860015,4.06963875,3.9591525,7.70885375,6.220932,5.42346725
MCCC2,16.5601,16.174,8.21936,23.1601,12.2988,7.21016
